Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,Production House,Netflix Link,IMDb Link,Summary,IMDb Votes,Image,Poster,TMDb Trailer,Trailer Site
Red,"Action, Comedy, Crime, Thriller","Dramas,Crime Movies,Crime Dramas,Indian Movies,Telugu-Language Movies","English, Russian",Movie,3.4,"Canada,Mexico,South Africa,Thailand,Singapore,Turkey,Israel,Australia,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,United States,Russia,Argentina",> 2 hrs,Robert Schwentke,"Jon Hoeber, Erich Hoeber, Cully Hamner, Warren Ellis","Bruce Willis, Mary-Louise Parker, Jefferson Brown, Heidi von Palleske",PG-13,7.0,72.0,60.0,4.0,19.0,90380162.0,2010-10-15,2021-02-23,Di Bonaventura Pictures,https://www.netflix.com/watch/81408627,https://www.imdb.com/title/tt1245526,"A murder investigation leads police to a photo of a suspect, but when two men are found with faces that match the picture, the case gets doubly tricky.",290548.0,https://occ-0-56-55.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRDFJdvb-kE4eKFP1_R0_t1ui4Zuz4ApoE3VP2FSQ6C_3KtZaCY2S5PPoObJyEENJbNv6n898Ob8mxix-HPPC-u0uw.jpg?r=96d,https://m.media-amazon.com/images/M/MV5BMzg2Mjg1OTk0NF5BMl5BanBnXkFtZTcwMjQ4MTA3Mw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=-JZ_moituIo,YouTube
Burden,Drama,"Movies Based on Real Life,Dramas,Award-winning Dramas",English,Movie,7.8,Netherlands,1-2 hour,Andrew Heckler,Andrew Heckler,"Andrea Riseborough, Tom Wilkinson, Forest Whitaker, Garrett Hedlund",R,6.6,97.0,57.0,2.0,1.0,139270.0,2020-06-09,2021-02-19,Magnolia Pictures,https://www.netflix.com/watch/80240857,https://www.imdb.com/title/tt5314450,A young man who rises to the top of the South Carolina Ku Klux Klan decides to walk away with the help of an unexpected ally. Based on real events.,1814.0,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWD5wil5P2u7Rh8OxUQJpBAb6udJBzfCJRtd1B8O-EvwdP0I2vodDgrzLfpaS-PVlvlpzwYG3MTdSZREnJhpoT00jQ.jpg?r=ad6,https://m.media-amazon.com/images/M/MV5BMTlhNzVmNTktMDRjZi00MTllLWFlNmEtZDhlNmI0MTQxZTU3XkEyXkFqcGdeQXVyOTIxNTAyMzU@._V1_SX300.jpg,https://www.youtube.com/watch?v=SATynwll5fE,YouTube
Repo Man,"Action, Comedy, Crime, Sci-Fi, Thriller","Comedies,Independent Movies,Classic Movies","English, Spanish",Movie,4.2,"Lithuania,Poland,Czech Republic,Hungary,Slovakia,Romania",1-2 hour,Alex Cox,Alex Cox,"Harry Dean Stanton, Emilio Estevez, Tracey Walter, Olivia Barash",R,6.9,98.0,82.0,2.0,3.0,129000.0,1984-03-02,2021-02-16,Edge City LLC,https://www.netflix.com/watch/60002052,https://www.imdb.com/title/tt0087995,"Once lacking purpose, delinquent Otto finds a code of honor and a higher calling when he hooks up with a band of contemporary ""knights"": the repo men.",33965.0,https://occ-0-2851-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABc2vvKuj1YaG7ASScbpcjS3mfSVyHozecL-Ilx21W02r82IA6y3CJnMM9rTRhbdOFpI67bzZqAuhabKNKp-68jCrkQ.jpg?r=6ec,https://m.media-amazon.com/images/M/MV5BNzdkMzVhNTgtMjlhNC00M2JkLWI3MzktYzdkNzYxNTk1NjcwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=DLGrXGEMOSo,YouTube
Mr. & Mrs. Incredible,"Action, Comedy, Crime, Thriller","Action & Adventure,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Romantic Comedies,Comedies,Romantic Films,Fantasy,Slapstick Comedies,Action Comedies,Mainland Chinese Movies","English, Spanish",Movie,3.0,"Singapore,Malaysia",1-2 hour,Doug Liman,Simon Kinberg,"Brad Pitt, Vince Vaughn, Adam Brody, Angelina Jolie",PG-13,6.5,60.0,55.0,9.0,18.0,186336279.0,2005-06-10,2021-02-08,"Regency Entertainment, New Regency Pictures, Weed Road Pictures, Summit Entertainment",https://www.netflix.com/watch/80176173,https://www.imdb.com/title/tt0356910,Two superheroes give up their day jobs for married life in a small village but discover domestic bliss is harder to pull off than fighting evil.,451482.0,https://occ-0-58-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABabAt49XPrH6tslkiQah7AiRTEvVkx8qb6BAsYG3oJMbYELdJZ3-Bzf8rNBpqD-hanYx5hGBpA4vRGwIbeX5FHd4TQ.jpg?r=889,https://m.media-amazon.com/images/M/MV5BMTUxMzcxNzQzOF5BMl5BanBnXkFtZTcwMzQxNjUyMw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=TWB_icm5M38,YouTube
Ill Always Know What You Did Last Summer,"Action, Adventure, Fantasy, Sci-Fi","Horror Films,Films Based on Books,US Movies","English, Sanskrit",Movie,2.8,"Thailand,Singapore,India,Hong Kong",1-2 hour,George Lucas,George Lucas,"Ewan McGregor, Natalie Portman, Jake Lloyd, Liam Neeson",PG,6.5,52.0,51.0,26.0,69.0,474544677.0,1999-05-19,2021-02-01,Lucasfilm Ltd.,https://www.netflix.com/watch/70051473,https://www.imdb.com/title/tt0120915,"When a simple Fourth of July prank goes terribly wrong and turns into a deadly tragedy, wary friends vow to take their secret to the grave.",733336.0,https://occ-0-2340-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABa8BDV8BQL5udPybp_vk8cfI5xgJcxz7mQ4pUpds1pRGId5OgG7SxnhIAP9tWx7gZbt7Ld_Hs_XbMEpgRcl4Co042Q.jpg?r=a58,https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=bD7bpG-zDJQ,YouTube
The House That Jack Built,"Crime, Drama, Horror, Thriller","Crime Movies,Independent Movies,Thriller Movies,Crime Thrillers,Danish Movies","English, German, Italian",Movie,2.8,Germany,> 2 hrs,Lars von Trier,"Lars von Trier, Jenle Hallund","Matt Dillon, Uma Thurman, Siobhan Fallon Hogan, Bruno Ganz",R,6.8,59.0,42.0,11.0,20.0,258106.0,2018-10-17,2021-01-29,"Film i Väst, Zentropa Entertainments, Eurimages, Copenhagen Film Fund, Film und Medien Stiftung NRW",https://www.netflix.com/watch/81001406,https://www.imdb.com/title/tt4003440,"On his way to hell, a serial killer — and frustrated architect — attempts to compare his brutal and increasingly bizarre murders to art.",59945.0,https://occ-0-784-778.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUYFMG8XtEuhdoYliqbyJh3w18XZQA3L6ao4TAE0qoxfbSn78e18sanQXaGszf0PyfJdz_pSCdDxX5w9xOPRKyLGJA.jpg?r=537,https://m.media-amazon.com/images/M/MV5BNDQ4Y2E5ODktODI5ZS00ZGVkLTgyZTEtNWY1ZjNiZTFjOTE3XkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_SX300.jpg,https://www.youtube.com/watch?v=8RcExsA-8FI,YouTube
Sonic the Hedgehog,"Action, Adventure, Comedy, Sci-Fi","Children & Family Movies,Comedies,Action Comedies,Family Features,Family Comedies","English, French",Movie,2.9,"Russia,Japan",1-2 hour,Jeff Fowler,"Pat Casey, Josh Miller","Jim Carrey, Ben Schwartz, Tika Sumpter, James Marsden",PG,6.5,63.0,47.0,2.0,6.0,148974665.0,2020-02-14,2021-01-28,"Original Film, Paramount Pictures",https://www.netflix.com/watch/80217006,https://www.imdb.com/title/tt3794354,A small-town sheriff helps an alien hedgehog with supersonic speed outrun a mad doctor who wants the creatures special powers to dominate the world.,89305.0,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeinOAD7TSNsouWO7rZurSbGnRIYUjAaNXLDpXdZca79KQUjV6BmcZWACZp7ORUep2po_Sjx1-6O2lAnu4RKvnxVnQ.jpg?r=1ad,https://m.media-amazon.com/images/M/MV5BMDk5Yzc4NzMtODUwOS00NTdhLTg2MjEtZTkzZjc0ZWE2MzAwXkEyXkFqcGdeQXVyMTA3MTA4Mzgw._V1_SX300.jpg,https://www.youtube.com/watch?v=szby7ZHLnkA,YouTube
Touch Me Not,Drama,"Dramas,Independent Movies","English, German",Movie,6.9,Romania,> 2 hrs,Adina Pintilie,Adina Pintilie,"Grit Uhlemann, Christian Bayerlein, Laura Benson, Tómas Lemarquis",Not Rated,5.9,59.0,65.0,4.0,19.0,13782.0,2018-10-31,2021-01-24,"Manekino Film, Rohfilm, Les Films de L&#39;Etranger, Agitprop",https://www.netflix.com/watch/81072750,https://www.imdb.com/title/tt4949112,"In this experimental film, a filmmaker and her characters, including a woman who dislikes being touched, explore the emotional barriers toward intimacy.",2311.0,https://occ-0-3017-3466.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABZoo1bVfqUeVuxbiOR3nBV22XJdb-OP4SnN3krBcyHoApOicoXjlgur0L8s5ncwi-kUeFTQ6yCCjdphy3ToKZ4hNmK8_YLdbLz9tBArUvvjnYSw.jpg?r=74f,https://m.media-amazon.com/images/M/MV5BNGI4YzQwNzQtYjUxOC00M2Q3LTg2YjItMGU5ZjA0ZDgyMWNmXkEyXkFqcGdeQXVyMjI3NDAyNg@@._V1_SX300.jpg,https://www.youtube.com/watch?v=fQ8IKnYwK1I,YouTube
The Hunt,Drama,"Action & Adventure,Horror Movies,US Movies","Danish, English, Polish",Movie,4.2,South Korea,1-2 hour,Thomas Vinterberg,"Tobias Lindholm, Thomas Vinterberg","Mads Mikkelsen, Annika Wedderkopp, Lasse Fogelstrøm, Thomas Bo Larsen",R,8.3,93.0,77.0,37.0,70.0,613308.0,2013-01-10,2021-01-24,Zentropa Entertainments,https://www.netflix.com/watch/81087735,https://www.imdb.com/title/tt2106476,"In this dark horror satire, wealthy elites hunt innocent ordinary citizens for sport — until one of them turns the tables on her pursuers.",282998.0,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABROr2IR0hzlnKuEbpnj1EFI-ls7og8m4yXS2WHWp850KJsWx-9YN9mtHrNkBdBrPC6VSE_4U_9uMqHIAG-iqaToXwQ.jpg?r=cb4,https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=9Umv4CyxTdg,YouTube
Im Home,"Action, Adventure, Fantasy, Sci-Fi","Mystery Programmes,Drama Programmes,Japanese TV Programmes,TV Programmes Based on Manga","English, Sanskrit",Series,2.8,"Thailand,Singapore,Malaysia,Hong Kong",< 30 minutes,George Lucas,George Lucas,"Ewan McGregor, Natalie Portman, Jake Lloyd, Liam Neeson",PG,6.5,52.0,51.0,26.0,69.0,474544677.0,1999-05-19,2021-01-22,Lucasfilm Ltd.,https://www.netflix.com/watch/81351300,https://www.imdb.com/title/tt0120915,An elite businessman and father embarks on a journey of self-discovery after waking from a coma unable to recall the five years before his accident.,733336.0,https://occ-0-2188-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUqhq_E8nYAkUbCmS4rUrxSTB4ZfsBxY6YnJK-uSQpT5D4WAG20sCxkDL7EivL3dTy3xsXf5rC4FAKKEpG2qFuqtVg.jpg?r=f7f,https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=6P6xs9Jj1pU,YouTube
Affliction,"Drama, Mystery, Thriller","Horror Films,Indonesian Films",English,Movie,4.0,"Thailand,Singapore,Malaysia",1-2 hour,Paul Schrader,"Paul Schrader, Russell Banks","Nick Nolte, Brigid Tierney, Holmes Osborne, Jim True-Frost",R,7.0,88.0,79.0,8.0,19.0,6330054.0,1999-02-19,2021-01-21,"JVC Entertainment, Largo Entertainment",https://www.netflix.com/watch/81393298,https://www.imdb.com/title/tt0118564,"During a haunting visit with her family, a grieving wife tries to uncover the disturbing reasons behind her mother-in-laws deteriorating condition.",15218.0,https://occ-0-2188-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYHjMdoiEuTMHjbPybxYFRn7F3joLm8STlyU7m6kpELJY-zkpkEIITWcZkugfJOLIKTstlFvUj_zgZpqgGC3QTDWEw.jpg?r=1de,https://m.media-amazon.com/images/M/MV5BOWFlM2M3YTEtNGRiNi00Y2ZmLWI3YjYtZGFlMDQ4YzA5MTcyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=yBvzSs2qo1c,YouTube
